===== adb shell ps -A -o USER,PID,PPID,NAME,ARGS =====
USER           PID  PPID NAME                        ARGS                       
root             1     0 init                        init second_stage
root             2     0 [kthreadd]                  [kthreadd]
root             3     2 [rcu_gp]                    [rcu_gp]
root             4     2 [rcu_par_gp]                [rcu_par_gp]
root             5     2 [kworker/0:0-events]        [kworker/0:0-events]
root             6     2 [kworker/0:0H-kblockd]      [kworker/0:0H-kblockd]
root             7     2 [kworker/u16:0-kverityd]    [kworker/u16:0-kverityd]
root             8     2 [mm_percpu_wq]              [mm_percpu_wq]
root             9     2 [ksoftirqd/0]               [ksoftirqd/0]
root            10     2 [rcu_preempt]               [rcu_preempt]
root            11     2 [rcub/0]                    [rcub/0]
root            12     2 [rcuc/0]                    [rcuc/0]
root            13     2 [migration/0]               [migration/0]
root            14     2 [kworker/0:1-events]        [kworker/0:1-events]
root            15     2 [cpuhp/0]                   [cpuhp/0]
root            16     2 [cpuhp/1]                   [cpuhp/1]
root            17     2 [migration/1]               [migration/1]
root            18     2 [rcuc/1]                    [rcuc/1]
root            19     2 [ksoftirqd/1]               [ksoftirqd/1]
root            20     2 [kworker/1:0-events]        [kworker/1:0-events]
root            21     2 [kworker/1:0H-kblockd]      [kworker/1:0H-kblockd]
root            22     2 [cpuhp/2]                   [cpuhp/2]
root            23     2 [migration/2]               [migration/2]
root            24     2 [rcuc/2]                    [rcuc/2]
root            25     2 [ksoftirqd/2]               [ksoftirqd/2]
root            26     2 [kworker/2:0-events]        [kworker/2:0-events]
root            27     2 [kworker/2:0H-kblockd]      [kworker/2:0H-kblockd]
root            28     2 [cpuhp/3]                   [cpuhp/3]
root            29     2 [migration/3]               [migration/3]
root            30     2 [rcuc/3]                    [rcuc/3]
root            31     2 [ksoftirqd/3]               [ksoftirqd/3]
root            32     2 [kworker/3:0-events]        [kworker/3:0-events]
root            33     2 [kworker/3:0H-kblockd]      [kworker/3:0H-kblockd]
root            34     2 [cpuhp/4]                   [cpuhp/4]
root            35     2 [migration/4]               [migration/4]
root            36     2 [rcuc/4]                    [rcuc/4]
root            37     2 [ksoftirqd/4]               [ksoftirqd/4]
root            38     2 [kworker/4:0-events]        [kworker/4:0-events]
root            39     2 [kworker/4:0H-kblockd]      [kworker/4:0H-kblockd]
root            40     2 [cpuhp/5]                   [cpuhp/5]
root            41     2 [migration/5]               [migration/5]
root            42     2 [rcuc/5]                    [rcuc/5]
root            43     2 [ksoftirqd/5]               [ksoftirqd/5]
root            44     2 [kworker/5:0-events]        [kworker/5:0-events]
root            45     2 [kworker/5:0H-kblockd]      [kworker/5:0H-kblockd]
root            46     2 [cpuhp/6]                   [cpuhp/6]
root            47     2 [migration/6]               [migration/6]
root            48     2 [rcuc/6]                    [rcuc/6]
root            49     2 [ksoftirqd/6]               [ksoftirqd/6]
root            50     2 [kworker/6:0-events]        [kworker/6:0-events]
root            51     2 [kworker/6:0H-kblockd]      [kworker/6:0H-kblockd]
root            52     2 [cpuhp/7]                   [cpuhp/7]
root            53     2 [migration/7]               [migration/7]
root            54     2 [rcuc/7]                    [rcuc/7]
root            55     2 [ksoftirqd/7]               [ksoftirqd/7]
root            56     2 [kworker/7:0-mm_percpu_wq]  [kworker/7:0-mm_percpu_wq]
root            57     2 [kworker/7:0H-queue_log_workqueue] [kworker/7:0H-queue_log_workqueue]
root            58     2 [netns]                     [netns]
root            59     2 [rcu_tasks_kthre]           [rcu_tasks_kthre]
root            60     2 [rcu_tasks_trace]           [rcu_tasks_trace]
root            61     2 [kworker/7:1-events]        [kworker/7:1-events]
root            62     2 [kauditd]                   [kauditd]
root            63     2 [kworker/u16:1-events_unbound] [kworker/u16:1-events_unbound]
root            64     2 [oom_reaper]                [oom_reaper]
root            65     2 [writeback]                 [writeback]
root            66     2 [kcompactd0]                [kcompactd0]
root            83     2 [cryptd]                    [cryptd]
root           111     2 [kblockd]                   [kblockd]
root           112     2 [kworker/u17:0-mali_jd]     [kworker/u17:0-mali_jd]
root           113     2 [blk_crypto_wq]             [blk_crypto_wq]
root           114     2 [blkcg_punt_bio]            [blkcg_punt_bio]
root           115     2 [devfreq_wq]                [devfreq_wq]
root           116     2 [watchdogd]                 [watchdogd]
root           117     2 [cfg80211]                  [cfg80211]
root           147     2 [kswapd0]                   [kswapd0]
root           148     2 [erofs_worker/0]            [erofs_worker/0]
root           149     2 [erofs_worker/1]            [erofs_worker/1]
root           150     2 [erofs_worker/2]            [erofs_worker/2]
root           151     2 [erofs_worker/3]            [erofs_worker/3]
root           152     2 [erofs_worker/4]            [erofs_worker/4]
root           153     2 [erofs_worker/5]            [erofs_worker/5]
root           154     2 [erofs_worker/6]            [erofs_worker/6]
root           155     2 [erofs_worker/7]            [erofs_worker/7]
root           156     2 [kworker/7:1H-kblockd]      [kworker/7:1H-kblockd]
root           157     2 [bioset]                    [bioset]
root           164     2 [uas]                       [uas]
root           165     2 [kworker/3:1-events]        [kworker/3:1-events]
root           166     2 [uether]                    [uether]
root           167     2 [dm_bufio_cache]            [dm_bufio_cache]
root           168     2 [ion_system_heap]           [ion_system_heap]
root           169     2 [rbin]                      [rbin]
root           170     2 [rbin_shrink]               [rbin_shrink]
root           171     2 [kshrink_lruvecd]           [kshrink_lruvecd]
root           172     2 [kshrink_slabd]             [kshrink_slabd]
root           173     2 [ipv6_addrconf]             [ipv6_addrconf]
root           176     2 [kworker/7:2-dm_bufio_cache] [kworker/7:2-dm_bufio_cache]
root           177     2 [kworker/5:1-events]        [kworker/5:1-events]
root           178     2 [sec_abc_wq]                [sec_abc_wq]
root           179     2 [kworker/4:1-events]        [kworker/4:1-events]
root           180     2 [irq/78-158d0000]           [irq/78-158d0000]
root           181     2 [kworker/1:1-pm]            [kworker/1:1-pm]
root           182     2 [kworker/2:1-events]        [kworker/2:1-events]
root           183     2 [kworker/6:1-events]        [kworker/6:1-events]
root           184     2 [irq/371-1590000]           [irq/371-1590000]
root           185     2 [acpm_update_log]           [acpm_update_log]
root           186     2 [irq/287-s2mpu]             [irq/287-s2mpu]
root           187     2 [irq/288-s2mpu]             [irq/288-s2mpu]
root           188     2 [irq/289-s2mpu]             [irq/289-s2mpu]
root           189     2 [irq/290-s2mpu]             [irq/290-s2mpu]
root           190     2 [irq/291-s2mpu]             [irq/291-s2mpu]
root           191     2 [irq/292-s2mpu]             [irq/292-s2mpu]
root           192     2 [irq/293-s2mpu]             [irq/293-s2mpu]
root           193     2 [irq/294-s2mpu]             [irq/294-s2mpu]
root           194     2 [irq/295-s2mpu]             [irq/295-s2mpu]
root           195     2 [irq/296-s2mpu]             [irq/296-s2mpu]
root           196     2 [irq/297-s2mpu]             [irq/297-s2mpu]
root           197     2 [irq/298-s2mpu]             [irq/298-s2mpu]
root           198     2 [irq/299-s2mpu]             [irq/299-s2mpu]
root           199     2 [irq/300-s2mpu]             [irq/300-s2mpu]
root           200     2 [irq/301-s2mpu]             [irq/301-s2mpu]
root           201     2 [irq/302-s2mpu]             [irq/302-s2mpu]
root           202     2 [irq/303-s2mpu]             [irq/303-s2mpu]
root           203     2 [irq/304-s2mpu]             [irq/304-s2mpu]
root           204     2 [irq/305-s2mpu]             [irq/305-s2mpu]
root           205     2 [irq/306-s2mpu]             [irq/306-s2mpu]
root           206     2 [irq/307-s2mpu]             [irq/307-s2mpu]
root           207     2 [irq/308-s2mpu]             [irq/308-s2mpu]
root           208     2 [irq/309-s2mpu]             [irq/309-s2mpu]
root           209     2 [irq/310-s2mpu]             [irq/310-s2mpu]
root           210     2 [irq/311-s2mpu]             [irq/311-s2mpu]
root           211     2 [irq/312-s2mpu]             [irq/312-s2mpu]
root           212     2 [irq/313-s2mpu]             [irq/313-s2mpu]
root           213     2 [irq/314-s2mpu]             [irq/314-s2mpu]
root           214     2 [irq/315-s2mpu]             [irq/315-s2mpu]
root           215     2 [irq/316-s2mpu]             [irq/316-s2mpu]
root           216     2 [irq/317-s2mpu]             [irq/317-s2mpu]
root           217     2 [irq/318-s2mpu]             [irq/318-s2mpu]
root           218     2 [irq/319-s2mpu]             [irq/319-s2mpu]
root           219     2 [irq/320-s2mpu]             [irq/320-s2mpu]
root           220     2 [irq/321-s2mpu]             [irq/321-s2mpu]
root           221     2 [irq/322-s2mpu]             [irq/322-s2mpu]
root           222     2 [irq/323-s2mpu]             [irq/323-s2mpu]
root           223     2 [irq/324-s2mpu]             [irq/324-s2mpu]
root           224     2 [irq/325-s2mpu]             [irq/325-s2mpu]
root           225     2 [irq/326-s2mpu]             [irq/326-s2mpu]
root           226     2 [irq/327-s2mpu]             [irq/327-s2mpu]
root           227     2 [irq/328-s2mpu]             [irq/328-s2mpu]
root           228     2 [irq/329-el2_dyn]           [irq/329-el2_dyn]
root           229     2 [kworker/u16:2-kverityd]    [kworker/u16:2-kverityd]
root           230     2 [s2mps24-wqueue]            [s2mps24-wqueue]
root           231     2 [s2mps23-wqueue]            [s2mps23-wqueue]
root           232     2 [irq/409-s2mps23]           [irq/409-s2mps23]
root           233     2 [ufs_perf_0]                [ufs_perf_0]
root           234     2 [SEC_WB_0]                  [SEC_WB_0]
root           235     2 [scsi_eh_0]                 [scsi_eh_0]
root           236     2 [scsi_tmf_0]                [scsi_tmf_0]
root           237     2 [ufs_eh_wq_0]               [ufs_eh_wq_0]
root           238     2 [ufs_clk_gating_]           [ufs_clk_gating_]
root           239     2 [kworker/u16:3-kverityd]    [kworker/u16:3-kverityd]
root           240     2 [kworker/u16:4-kverityd]    [kworker/u16:4-kverityd]
root           241     2 [kworker/u16:5-kverityd]    [kworker/u16:5-kverityd]
root           242     2 [kworker/u16:6-adb]         [kworker/u16:6-adb]
root           243     2 [kworker/4:1H-kblockd]      [kworker/4:1H-kblockd]
root           244     2 [kworker/5:1H-kblockd]      [kworker/5:1H-kblockd]
root           245     2 [kworker/2:1H-kblockd]      [kworker/2:1H-kblockd]
root           246     2 [kworker/1:1H-kblockd]      [kworker/1:1H-kblockd]
root           247     2 [kworker/0:1H-kblockd]      [kworker/0:1H-kblockd]
root           248     2 [sec_audio_dbg_s]           [sec_audio_dbg_s]
root           249     2 [pcie_wq]                   [pcie_wq]
root           250     2 [cpif_tpmon_moni]           [cpif_tpmon_moni]
root           251     2 [typec_manager_e]           [typec_manager_e]
root           252     2 [typec_manager_m]           [typec_manager_m]
root           253     2 [kworker/7:3]               [kworker/7:3]
root           254     2 [thermal_BIG]               [thermal_BIG]
root           255     2 [thermal_hotplug]           [thermal_hotplug]
root           256     2 [thermal_MID]               [thermal_MID]
root           257     2 [thermal_LITTLE]            [thermal_LITTLE]
root           258     2 [thermal_G3D]               [thermal_G3D]
root           259     2 [thermal_ISP]               [thermal_ISP]
root           260     2 [thermal_NPU]               [thermal_NPU]
root           261     2 [thermal_CP]                [thermal_CP]
root           262     2 [simpleinteracti]           [simpleinteracti]
root           263     2 [simpleinteracti]           [simpleinteracti]
root           264     2 [simpleinteracti]           [simpleinteracti]
root           265     2 [simpleinteracti]           [simpleinteracti]
root           266     2 [simpleinteracti]           [simpleinteracti]
root           267     2 [simpleinteracti]           [simpleinteracti]
root           268     2 [simpleinteracti]           [simpleinteracti]
root           269     2 [simpleinteracti]           [simpleinteracti]
root           270     2 [simpleinteracti]           [simpleinteracti]
root           271     2 [simpleinteracti]           [simpleinteracti]
root           272     2 [simpleinteracti]           [simpleinteracti]
root           273     2 [simpleinteracti]           [simpleinteracti]
root           274     2 [esgov:0]                   [esgov:0]
root           275     2 [esgov:4]                   [esgov:4]
root           276     2 [kworker/5:2-events]        [kworker/5:2-events]
root           277     2 [esgov:7]                   [esgov:7]
